id,currencyId,customerId,dateCompleted,dateCreated,locationGroupId,qbClassId,statusId
15308,,426,2021-04-15 00:00:00.000,2021-04-13 00:00:00.000,1,10,60
15309,,1,2021-04-19 16:30:55.607,2021-04-15 00:00:00.000,1,8,60
15310,,2839,2021-04-15 00:00:00.000,2021-04-14 00:00:00.000,1,10,60
15311,,1,2021-04-19 16:31:11.475,2021-04-15 00:00:00.000,1,8,60
15312,,1249,2021-04-21 00:00:00.000,2021-04-16 00:00:00.000,1,9,60
15313,,5708,2021-04-16 00:00:00.000,2021-04-16 00:00:00.000,1,9,60
15314,,1,2021-04-19 16:31:28.244,2021-04-16 00:00:00.000,1,8,60
15315,,1,2021-04-19 16:31:43.488,2021-04-16 00:00:00.000,1,8,60
15316,,2604,2021-04-21 00:00:00.000,2021-04-16 00:00:00.000,1,9,60
15317,,5114,2021-04-21 00:00:00.000,2021-04-16 00:00:00.000,1,9,60
15318,,1,2021-04-19 16:31:58.996,2021-04-16 00:00:00.000,1,8,60
15319,,3353,2021-04-21 00:00:00.000,2021-04-16 00:00:00.000,1,9,60
15320,,1,2021-04-21 00:00:00.000,2021-04-16 00:00:00.000,1,8,60
15321,,734,2021-04-20 00:00:00.000,2021-04-16 00:00:00.000,1,19,60
15322,,734,2021-04-20 00:00:00.000,2021-04-16 00:00:00.000,1,19,60
15323,,1,2021-04-21 00:00:00.000,2021-04-17 00:00:00.000,1,8,60
15324,,1731,2021-04-22 00:00:00.000,2021-04-17 00:00:00.000,1,10,60
15325,,1,2021-04-21 00:00:00.000,2021-04-17 00:00:00.000,1,8,60
15326,,1,2021-04-21 00:00:00.000,2021-04-17 00:00:00.000,1,8,60
15327,,6076,2021-04-21 00:00:00.000,2021-04-17 00:00:00.000,1,9,60
15328,,998,2021-04-21 00:00:00.000,2021-04-17 00:00:00.000,1,9,60
15329,,1,2021-04-21 00:00:00.000,2021-04-17 00:00:00.000,1,8,60
15330,,1731,2021-04-22 00:00:00.000,2021-04-17 00:00:00.000,1,10,60
15331,,3931,2021-04-21 00:00:00.000,2021-04-17 00:00:00.000,1,9,60
15332,,1,2021-04-21 00:00:00.000,2021-04-17 00:00:00.000,1,8,60
15333,,1,2021-04-21 00:00:00.000,2021-04-18 00:00:00.000,1,8,60
15334,,6195,2021-04-21 00:00:00.000,2021-04-18 00:00:00.000,1,9,60
15335,,4363,2021-04-21 00:00:00.000,2021-04-18 00:00:00.000,1,9,60
15336,,1,2021-04-21 00:00:00.000,2021-04-18 00:00:00.000,1,8,60
15337,,3728,2021-04-21 00:00:00.000,2021-04-18 00:00:00.000,1,9,60
15338,,1,2021-04-21 00:00:00.000,2021-04-18 00:00:00.000,1,8,60
15339,,1,2021-04-21 00:00:00.000,2021-04-19 00:00:00.000,1,8,60
15340,,6152,2021-04-21 00:00:00.000,2021-04-19 00:00:00.000,1,9,60
15341,,734,2021-04-21 00:00:00.000,2021-04-19 00:00:00.000,1,19,60
15342,,734,2021-04-22 00:00:00.000,2021-04-19 00:00:00.000,1,19,60
15343,,734,2021-04-22 00:00:00.000,2021-04-19 00:00:00.000,1,19,60
15344,,312,2021-04-19 16:32:46.615,2021-04-18 00:00:00.000,1,9,60
15345,,1,2021-04-21 00:00:00.000,2021-04-19 00:00:00.000,1,8,60
15346,,4424,2021-04-21 00:00:00.000,2021-04-19 00:00:00.000,1,19,60
15347,,734,2021-04-22 00:00:00.000,2021-04-19 00:00:00.000,1,19,60
15348,,6200,2021-04-21 00:00:00.000,2021-04-19 00:00:00.000,1,9,60
15349,,6201,2021-04-22 00:00:00.000,2021-04-19 00:00:00.000,1,9,60
15350,,1,2021-04-01 00:00:00.000,2021-04-19 00:00:00.000,1,8,60
15351,,3388,2021-04-21 00:00:00.000,2021-04-19 00:00:00.000,1,9,60
15352,,3852,2021-04-19 16:35:50.508,2021-03-22 00:00:00.000,1,10,60
15353,,3920,2021-04-22 00:00:00.000,2021-04-19 00:00:00.000,1,9,60
15354,,1731,2021-04-22 00:00:00.000,2021-04-19 00:00:00.000,1,10,60
15355,,1,2021-04-21 00:00:00.000,2021-04-19 00:00:00.000,1,8,60
15356,,4745,2021-04-22 00:00:00.000,2021-04-19 00:00:00.000,1,9,60
15357,,4632,2021-04-21 00:00:00.000,2021-04-20 00:00:00.000,1,19,60
15358,,1731,2021-04-22 00:00:00.000,2021-04-20 00:00:00.000,1,10,60
15359,,1,2021-04-22 00:00:00.000,2021-04-20 00:00:00.000,1,8,60
15360,,6205,2021-04-22 00:00:00.000,2021-04-20 00:00:00.000,1,9,60
15361,,6158,2021-04-22 00:00:00.000,2021-04-20 00:00:00.000,1,9,60
15362,,4036,2021-04-22 00:00:00.000,2021-04-20 00:00:00.000,1,9,60
15363,,505,2021-04-22 00:00:00.000,2021-04-20 00:00:00.000,1,9,60
15364,,1,2021-04-22 00:00:00.000,2021-04-20 00:00:00.000,1,8,60
15365,,1731,2021-04-22 00:00:00.000,2021-04-20 00:00:00.000,1,10,60
15366,,1,2021-04-22 00:00:00.000,2021-04-20 00:00:00.000,1,8,60
15367,,3806,2021-04-22 00:00:00.000,2021-04-21 00:00:00.000,1,19,60
15368,,2366,2021-04-22 00:00:00.000,2021-04-21 00:00:00.000,1,9,60
15369,,6207,2021-04-23 00:00:00.000,2021-04-21 00:00:00.000,1,9,60
15370,,2839,2021-04-21 00:00:00.000,2021-04-18 00:00:00.000,1,10,60
15371,,1,2021-04-23 00:00:00.000,2021-04-21 00:00:00.000,1,8,60
15372,,1731,2021-04-23 00:00:00.000,2021-04-21 00:00:00.000,1,10,60
15373,,2839,2021-04-21 00:00:00.000,2021-04-18 00:00:00.000,1,10,60
15374,,6134,2021-04-21 00:00:00.000,2021-04-21 00:00:00.000,1,12,60
15375,,1,2021-04-23 00:00:00.000,2021-04-21 00:00:00.000,1,8,60
15376,,1586,2021-04-23 00:00:00.000,2021-04-21 00:00:00.000,1,9,60
15377,,1,2021-04-23 00:00:00.000,2021-04-21 00:00:00.000,1,8,60
15378,,1,2021-04-23 00:00:00.000,2021-04-21 00:00:00.000,1,8,60
15379,,46,2021-04-23 00:00:00.000,2021-04-21 00:00:00.000,1,9,60
15380,,4645,2021-04-23 00:00:00.000,2021-04-22 00:00:00.000,1,9,60
15381,,1,2021-04-23 00:00:00.000,2021-04-22 00:00:00.000,1,8,60
15382,,5568,,2021-04-22 00:00:00.000,1,12,10
15383,,5568,,2021-04-22 00:00:00.000,1,12,10
15384,,5568,,2021-04-22 00:00:00.000,1,12,10
15385,,5568,,2021-04-22 00:00:00.000,1,12,10
15386,,5568,,2021-04-22 00:00:00.000,1,12,10
15387,,5568,,2021-04-22 00:00:00.000,1,12,10
15388,,5568,,2021-04-22 00:00:00.000,1,12,10
15389,,5568,,2021-04-22 00:00:00.000,1,12,10
15390,,1,2021-04-23 00:00:00.000,2021-04-22 00:00:00.000,1,8,60
15391,,5109,2021-04-22 00:00:00.000,2021-04-22 00:00:00.000,1,9,60
15392,,1,2021-04-23 00:00:00.000,2021-04-22 00:00:00.000,1,8,60
15393,,1,2021-04-23 00:00:00.000,2021-04-22 00:00:00.000,1,8,60
