id,currencyId,customerId,dateCompleted,dateCreated,locationGroupId,qbClassId,statusId,sales_channel
14842,1.0,4180,2021-03-29 16:27:34.939,2021-01-18 00:00:00.000,1,9,70,O
14843,1.0,4374,2021-04-26 00:00:00.000,2021-01-18 00:00:00.000,1,9,60,O
14850,1.0,1625,2021-04-15 00:00:00.000,2021-01-19 00:00:00.000,1,9,60,O
14851,1.0,6020,2021-03-17 00:00:00.000,2021-01-19 00:00:00.000,1,9,60,O
14852,1.0,1171,2021-04-21 00:00:00.000,2021-01-20 00:00:00.000,1,9,60,O
14854,1.0,3398,2021-04-26 00:00:00.000,2021-01-20 00:00:00.000,1,9,60,O
14856,1.0,1199,2021-04-22 00:00:00.000,2021-01-20 00:00:00.000,1,9,60,O
14858,1.0,3291,2021-04-23 00:00:00.000,2021-01-20 00:00:00.000,1,9,60,O
14859,1.0,6021,2021-04-26 00:00:00.000,2021-01-20 00:00:00.000,1,9,60,O
14861,1.0,46,2021-03-18 00:00:00.000,2021-01-20 00:00:00.000,1,9,60,O
14862,1.0,46,2021-04-15 00:00:00.000,2021-01-20 00:00:00.000,1,9,60,O
14866,1.0,2839,2021-03-15 00:00:00.000,2021-03-15 00:00:00.000,1,10,60,I
14867,1.0,2839,2021-03-15 00:00:00.000,2021-03-14 00:00:00.000,1,10,60,I
14868,1.0,2839,2021-03-15 00:00:00.000,2021-03-14 00:00:00.000,1,10,60,I
14869,1.0,2839,2021-03-15 00:00:00.000,2021-03-13 00:00:00.000,1,10,60,I
14917,1.0,2998,2021-04-26 00:00:00.000,2021-01-22 00:00:00.000,1,9,60,O
14918,1.0,72,2021-04-26 10:21:01.354,2021-01-22 00:00:00.000,1,9,70,O
14919,1.0,3113,2021-04-22 00:00:00.000,2021-01-22 00:00:00.000,1,9,60,O
14921,1.0,1975,2021-04-16 00:00:00.000,2021-01-26 00:00:00.000,1,9,60,O
14922,1.0,1113,2021-04-22 00:00:00.000,2021-01-27 00:00:00.000,1,9,60,O
14923,1.0,6036,2021-04-22 00:00:00.000,2021-01-27 00:00:00.000,1,9,60,O
14924,1.0,3729,2021-04-22 00:00:00.000,2021-01-27 00:00:00.000,1,9,60,O
14925,1.0,4689,2021-04-26 00:00:00.000,2021-01-28 00:00:00.000,1,9,60,O
14928,1.0,198,2021-03-31 00:00:00.000,2021-01-29 00:00:00.000,1,9,60,O
14929,1.0,3513,2021-04-22 00:00:00.000,2021-01-29 00:00:00.000,1,9,60,O
14930,1.0,4336,2021-04-27 00:00:00.000,2021-01-29 00:00:00.000,1,9,60,O
14931,1.0,6038,2021-04-16 00:00:00.000,2021-02-02 00:00:00.000,1,9,60,O
14932,1.0,2994,2021-04-16 00:00:00.000,2021-02-02 00:00:00.000,1,9,60,O
14933,1.0,2994,2021-04-16 00:00:00.000,2021-02-02 00:00:00.000,1,9,60,O
14934,1.0,627,2021-04-26 00:00:00.000,2021-02-03 00:00:00.000,1,9,60,O
14935,1.0,4001,2021-04-16 00:00:00.000,2021-02-03 00:00:00.000,1,9,60,O
14936,1.0,6039,2021-04-15 00:00:00.000,2021-02-03 00:00:00.000,1,9,60,O
14937,1.0,505,2021-04-21 00:00:00.000,2021-02-04 00:00:00.000,1,9,60,O
14940,1.0,2604,2021-03-30 00:00:00.000,2021-02-05 00:00:00.000,1,9,60,O
14942,1.0,584,2021-04-19 16:33:05.442,2021-02-05 00:00:00.000,1,9,60,O
14943,1.0,734,2021-03-16 00:00:00.000,2021-03-15 00:00:00.000,1,19,60,K
14944,1.0,1731,2021-03-16 00:00:00.000,2021-03-15 00:00:00.000,1,10,60,G
14945,1.0,3995,2021-03-15 00:00:00.000,2021-03-12 00:00:00.000,1,10,60,B
14946,1.0,6042,2021-05-17 13:52:39.413,2021-02-02 00:00:00.000,1,9,70,O
14947,1.0,4321,2021-04-27 00:00:00.000,2021-02-09 00:00:00.000,1,9,60,O
14948,1.0,3512,2021-04-23 00:00:00.000,2021-02-10 00:00:00.000,1,9,60,O
14949,1.0,4437,2021-05-17 00:00:00.000,2021-02-12 00:00:00.000,1,9,60,O
14950,1.0,410,2021-03-16 00:00:00.000,2021-03-15 00:00:00.000,1,9,60,O
14951,1.0,312,2021-03-15 00:00:00.000,2021-03-10 00:00:00.000,1,9,60,F
14952,1.0,1,2021-03-16 00:00:00.000,2021-03-15 00:00:00.000,1,8,60,H
14953,1.0,1,2021-03-16 00:00:00.000,2021-03-16 00:00:00.000,1,8,60,H
